,post_id,title,category,score,num_comments,author,collected_at
71,47639727,"When legal sports betting surges, so do Americans' financial problems",sports,221,145,pseudolus,2026-04-07 18:23:59
72,47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,783,367,hkmaxpro,2026-04-07 18:23:59
73,47615002,Qwen3.6-Plus: Towards real world agents,worldnews,592,209,pretext,2026-04-07 18:23:59
74,47664308,JPMorgan warns Tesla stock could sink 60% in new note,worldnews,61,18,freediddy,2026-04-07 18:23:59
76,47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,24,4,andsoitis,2026-04-07 18:23:59
77,47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,61,angst,2026-04-07 18:23:59
78,47668127,Bitwarden Is Down,worldnews,16,3,zhan_eg,2026-04-07 18:23:59
79,47611993,VR Realizes the Cyberspace Metaphor,science,17,17,dryadin,2026-04-07 18:23:59
80,47653036,Satellite firm Planet Labs to indefinitely withold Iran war imagery,worldnews,42,12,anigbrowl,2026-04-07 18:23:59
81,47641615,Sopwith – 1984 Game (2000),sports,98,42,elvis70,2026-04-07 18:23:59
82,47645817,How Pope Leo is pushing back on divine justification of war,worldnews,76,42,1659447091,2026-04-07 18:23:59
83,47627419,The Axios supply chain attack used individually targeted social engineering,worldnews,47,11,cmitsakis,2026-04-07 18:23:59
84,47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,297,148,Growtika,2026-04-07 18:23:59
85,47625311,Bun: cgroup-aware AvailableParallelism / HardwareConcurrency on Linux,worldnews,45,24,tosh,2026-04-07 18:23:59
86,47636765,Endian wars and anti-portability: this again?,worldnews,46,62,awilfox,2026-04-07 18:23:59
89,47663650,NASA's Artemis II Crew Flies Around the Moon (Official Broadcast) [video],science,6,1,gwbas1c,2026-04-07 18:23:59
90,47650234,Panorama – AI that finds your team's workflows and hidden structures,sports,6,1,bryantwolf,2026-04-07 18:23:59
92,47668437,Former CIA director: 'Russia no longer has the upper hand' in Ukraine war,worldnews,9,1,doener,2026-04-07 18:23:59
93,47624317,New Rowhammer attacks give complete control of machines running Nvidia GPUs,worldnews,132,10,01-_-,2026-04-07 18:23:59
94,47632504,"""Cognitive surrender"" leads AI users to abandon logical thinking, research finds",science,99,43,Bender,2026-04-07 18:23:59
95,47662682,Tattoo ink induces inflammation and alters the immune response to vaccination,sports,14,0,ryan_j_naughton,2026-04-07 18:23:59
96,47650273,"Meta, Google under attack as court cases bypass 30-year-old legal shield",worldnews,18,10,1vuio0pswjnm7,2026-04-07 18:23:59
97,47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,40,6,ruevs,2026-04-07 18:23:59
98,47644934,"Delve claiming that whistleblower was part of a ""targeted cyberattack""",worldnews,6,2,rrvsh,2026-04-07 18:23:59
99,47648226,SpaceX and OpenAI: The Mega IPO Grift [video],science,26,10,throw0101c,2026-04-07 18:23:59
100,47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-07 18:23:59
101,47642552,Nandgame – Build a Computer from Scratch,sports,8,0,Vortigaunt,2026-04-07 18:23:59
102,47651140,Ask HN: Where are all the disruptive software that AI promised?,worldnews,18,18,p-o,2026-04-07 18:23:59
103,47623053,"Show HN: Minimal Brain Teaser Web Game (Handcrafted, No AI)",sports,25,14,arttaboi,2026-04-07 18:23:59
104,47663564,The frontline is like Terminator: fighting robots give Ukraine hope in war,worldnews,11,0,tanelpoder,2026-04-07 18:23:59
